#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -85.4161165
#  Maximum: -33.8183419
#  Trials: 12188
#  Mean: -55.3388269
# 
#  Variance: 201.7358081
#  Relative variance: 0.0658754
#  Coefficient of variation: 0.2566620
#  Standard deviation: 14.2033731
#  Relative standard deviation: -0.2566620
# 
#  Skewness: -0.7476933
# 
#  2nd moment: 3264.1050242
#  3rd moment: -205099.9442068
# 
#  Sum of all values: -674469.6228533
#  (Sum of all values)^2: 39782912.0345282
#  (Sum of all values)^3: -2499758119.9930563
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -80
#  Right border of x-axis: -20
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 1107
#  Underflows in percent: 0.09082704
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: -79.4617113
#  P11: -78.7911289
#  P12: -78.1200810
#  P13: -77.3379564
#  P14: -76.5580308
#  P15: -75.7950104
#  P16: -74.9983008
#  P17: -74.2343813
#  P18: -73.3964897
#  P19: -72.6023707
#  P20: -71.6477454
#  P21: -70.6193846
#  P22: -69.7661538
#  P23: -68.7381132
#  P24: -67.8477680
#  P25: -66.9090909
#  P26: -65.9442915
#  P27: -64.9493117
#  P28: -64.1540125
#  P29: -63.2054111
#  P30: -62.2215385
#  P31: -61.1020308
#  P32: -59.6894675
#  P33: -57.3503297
#  P34: -54.4896631
#  P35: -54.2572155
#  P36: -54.0377238
#  P37: -53.8286074
#  P38: -53.6181119
#  P39: -53.4050350
#  P40: -53.1910555
#  P41: -52.9730233
#  P42: -52.7533267
#  P43: -52.5098102
#  P44: -52.2627952
#  P45: -51.9986999
#  P46: -51.7230450
#  P47: -51.4315823
#  P48: -51.1180183
#  P49: -50.8008989
#  P50: -50.4848747
#  P51: -50.1438649
#  P52: -49.7851417
#  P53: -49.4233884
#  P54: -49.0782822
#  P55: -48.6459172
#  P56: -48.2691391
#  P57: -47.9016184
#  P58: -47.5757132
#  P59: -47.3026438
#  P60: -47.0622889
#  P61: -46.8336210
#  P62: -46.6217406
#  P63: -46.4164402
#  P64: -46.2250192
#  P65: -46.0492308
#  P66: -45.8734423
#  P67: -45.7080143
#  P68: -45.5444902
#  P69: -45.3813290
#  P70: -45.2340717
#  P71: -45.0868143
#  P72: -44.9395570
#  P73: -44.7846921
#  P74: -44.6288685
#  P75: -44.4730450
#  P76: -44.3060207
#  P77: -44.1381033
#  P78: -43.9679882
#  P79: -43.7876923
#  P80: -43.6073964
#  P81: -43.4130297
#  P82: -43.2099528
#  P83: -43.0039792
#  P84: -42.7925043
#  P85: -42.5769877
#  P86: -42.3406335
#  P87: -42.0997318
#  P88: -41.8416937
#  P89: -41.5592394
#  P90: -41.2432152
#  P91: -40.9052456
#  P92: -40.5385880
#  P93: -40.1229256
#  P94: -39.6523077
#  P95: -39.1468795
#  P96: -38.5263790
#  P97: -37.8075113
#  P98: -36.8438462
#  P99: -35.6138462
#  P100: -33.8183419
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-49.0769231         0.5400394       0.4599606       0.0133738    67
-48.6153846         0.5507056       0.4492944       0.0106662    68
-48.1538462         0.5630948       0.4369052       0.0123892    69
-47.6923077         0.5757302       0.4242698       0.0126354    70
-47.2307692         0.5926321       0.4073679       0.0169019    71
-46.7692308         0.6128159       0.3871841       0.0201838    72
-46.3076923         0.6352970       0.3647030       0.0224811    73
-45.8461538         0.6615523       0.3384477       0.0262553    74
-45.3846154         0.6897768       0.3102232       0.0282245    75
-44.9230769         0.7211191       0.2788809       0.0313423    76
-44.4615385         0.7507384       0.2492616       0.0296193    77
-44.0000000         0.7782245       0.2217755       0.0274861    78
-43.5384615         0.8038234       0.1961766       0.0255989    79
-43.0769231         0.8265507       0.1734493       0.0227273    80
-42.6153846         0.8483755       0.1516245       0.0218247    81
-42.1538462         0.8679029       0.1320971       0.0195274    82
-41.6923077         0.8857893       0.1142107       0.0178864    83
-41.2307692         0.9003938       0.0996062       0.0146045    84
-40.7692308         0.9140138       0.0859862       0.0136200    85
-40.3076923         0.9259928       0.0740072       0.0119790    86
-39.8461538         0.9360026       0.0639974       0.0100098    87
-39.3846154         0.9455202       0.0544798       0.0095176    88
-38.9230769         0.9542173       0.0457827       0.0086971    89
-38.4615385         0.9609452       0.0390548       0.0067279    90
-38.0000000         0.9676731       0.0323269       0.0067279    91
-37.5384615         0.9732524       0.0267476       0.0055793    92
-37.0769231         0.9780112       0.0219888       0.0047588    93
-36.6153846         0.9819495       0.0180505       0.0039383    94
-36.1538462         0.9863800       0.0136200       0.0044306    95
-35.6923077         0.9894979       0.0105021       0.0031178    96
-35.2307692         0.9924516       0.0075484       0.0029537    97
-34.7692308         0.9949130       0.0050870       0.0024614    98
-34.3076923         0.9972104       0.0027896       0.0022973    99
-33.8461538         0.9996718       0.0003282       0.0024614   100
-33.3846154         1.0000000       0.0000000       0.0003282   101
-32.9230769         1.0000000       0.0000000       0.0000000   102
-32.4615385         1.0000000       0.0000000       0.0000000   103
-32.0000000         1.0000000       0.0000000       0.0000000   104
-31.5384615         1.0000000       0.0000000       0.0000000   105
-31.0769231         1.0000000       0.0000000       0.0000000   106
-30.6153846         1.0000000       0.0000000       0.0000000   107
-30.1538462         1.0000000       0.0000000       0.0000000   108
-29.6923077         1.0000000       0.0000000       0.0000000   109
-29.2307692         1.0000000       0.0000000       0.0000000   110
-28.7692308         1.0000000       0.0000000       0.0000000   111
-28.3076923         1.0000000       0.0000000       0.0000000   112
-27.8461538         1.0000000       0.0000000       0.0000000   113
-27.3846154         1.0000000       0.0000000       0.0000000   114
-26.9230769         1.0000000       0.0000000       0.0000000   115
-26.4615385         1.0000000       0.0000000       0.0000000   116
-26.0000000         1.0000000       0.0000000       0.0000000   117
-25.5384615         1.0000000       0.0000000       0.0000000   118
-25.0769231         1.0000000       0.0000000       0.0000000   119
-24.6153846         1.0000000       0.0000000       0.0000000   120
-24.1538462         1.0000000       0.0000000       0.0000000   121
-23.6923077         1.0000000       0.0000000       0.0000000   122
-23.2307692         1.0000000       0.0000000       0.0000000   123
-22.7692308         1.0000000       0.0000000       0.0000000   124
-22.3076923         1.0000000       0.0000000       0.0000000   125
-21.8461538         1.0000000       0.0000000       0.0000000   126
-21.3846154         1.0000000       0.0000000       0.0000000   127
-20.9230769         1.0000000       0.0000000       0.0000000   128
-20.4615385         1.0000000       0.0000000       0.0000000   129
-20.0000000         1.0000000       0.0000000       0.0000000   130
# -----------------------------------------------------------
