#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -85.4689471
#  Maximum: -33.8183419
#  Trials: 12188
#  Mean: -55.5470313
# 
#  Variance: 204.5058870
#  Relative variance: 0.0662802
#  Coefficient of variation: 0.2574495
#  Standard deviation: 14.3005555
#  Relative standard deviation: -0.2574495
# 
#  Skewness: -0.7123085
# 
#  2nd moment: 3289.9617912
#  3rd moment: -207548.3164681
# 
#  Sum of all values: -677007.2171804
#  (Sum of all values)^2: 40098054.3116410
#  (Sum of all values)^3: -2529598881.1136360
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -80
#  Right border of x-axis: -20
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 1136
#  Underflows in percent: 0.09320643
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: -79.5504072
#  P11: -78.9178220
#  P12: -78.2930178
#  P13: -77.6271225
#  P14: -76.9044491
#  P15: -76.1087912
#  P16: -75.3289552
#  P17: -74.5250158
#  P18: -73.7739172
#  P19: -72.8811722
#  P20: -72.0109589
#  P21: -71.1172445
#  P22: -70.2126154
#  P23: -69.2637221
#  P24: -68.4072189
#  P25: -67.4390533
#  P26: -66.6094118
#  P27: -65.7395208
#  P28: -64.9207940
#  P29: -63.9888645
#  P30: -63.1303644
#  P31: -62.1661538
#  P32: -60.9034705
#  P33: -59.5261538
#  P34: -56.9729231
#  P35: -54.4638462
#  P36: -54.2294615
#  P37: -54.0100552
#  P38: -53.7977823
#  P39: -53.5867049
#  P40: -53.3768083
#  P41: -53.1600509
#  P42: -52.9276033
#  P43: -52.6932725
#  P44: -52.4549153
#  P45: -52.1979592
#  P46: -51.9109576
#  P47: -51.5837998
#  P48: -51.2572105
#  P49: -50.9481319
#  P50: -50.6451613
#  P51: -50.3207839
#  P52: -49.9643077
#  P53: -49.6233846
#  P54: -49.2367473
#  P55: -48.8314381
#  P56: -48.4004503
#  P57: -47.9938462
#  P58: -47.6522911
#  P59: -47.3482245
#  P60: -47.0806689
#  P61: -46.8360936
#  P62: -46.6287708
#  P63: -46.4354639
#  P64: -46.2449595
#  P65: -46.0599190
#  P66: -45.8748785
#  P67: -45.7067990
#  P68: -45.5418362
#  P69: -45.3778288
#  P70: -45.2332213
#  P71: -45.0886138
#  P72: -44.9440063
#  P73: -44.7836254
#  P74: -44.6205753
#  P75: -44.4574176
#  P76: -44.2900000
#  P77: -44.1225824
#  P78: -43.9535043
#  P79: -43.7798860
#  P80: -43.6062678
#  P81: -43.4155831
#  P82: -43.2139620
#  P83: -43.0084118
#  P84: -42.7945247
#  P85: -42.5769877
#  P86: -42.3406335
#  P87: -42.0997318
#  P88: -41.8416937
#  P89: -41.5592394
#  P90: -41.2432152
#  P91: -40.9052456
#  P92: -40.5385880
#  P93: -40.1229256
#  P94: -39.6523077
#  P95: -39.1468795
#  P96: -38.5263790
#  P97: -37.8075113
#  P98: -36.8438462
#  P99: -35.6138462
#  P100: -33.8183419
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-80.0000000         0.0932064       0.9067936       0.0000000     0
-79.5384615         0.1001805       0.8998195       0.0069741     1
-79.0769231         0.1074828       0.8925172       0.0073023     2
-78.6153846         0.1147850       0.8852150       0.0073023     3
-78.1538462         0.1222514       0.8777486       0.0074664     4
-77.6923077         0.1290614       0.8709386       0.0068100     5
-77.2307692         0.1357073       0.8642927       0.0066459     6
-76.7692308         0.1417788       0.8582212       0.0060715     7
-76.3076923         0.1470299       0.8529701       0.0052511     8
-75.8461538         0.1539219       0.8460781       0.0068920     9
-75.3846154         0.1593371       0.8406629       0.0054152    10
-74.9230769         0.1648343       0.8351657       0.0054972    11
-74.4615385         0.1708238       0.8291762       0.0059895    12
-74.0000000         0.1773876       0.8226124       0.0065638    13
-73.5384615         0.1827207       0.8172793       0.0053331    14
-73.0769231         0.1878077       0.8121923       0.0050870    15
-72.6153846         0.1929767       0.8070233       0.0051690    16
-72.1538462         0.1981457       0.8018543       0.0051690    17
-71.6923077         0.2041352       0.7958648       0.0059895    18
-71.2307692         0.2086479       0.7913521       0.0045126    19
-70.7692308         0.2141451       0.7858549       0.0054972    20
-70.3076923         0.2189859       0.7810141       0.0048408    21
-69.8461538         0.2239088       0.7760912       0.0049229    22
-69.3846154         0.2286675       0.7713325       0.0047588    23
-68.9230769         0.2337545       0.7662455       0.0050870    24
-68.4615385         0.2394979       0.7605021       0.0057434    25
-68.0000000         0.2437644       0.7562356       0.0042665    26
-67.5384615         0.2488513       0.7511487       0.0050870    27
-67.0769231         0.2541844       0.7458156       0.0053331    28
-66.6153846         0.2599278       0.7400722       0.0057434    29
-66.1538462         0.2655071       0.7344929       0.0055793    30
-65.6923077         0.2705120       0.7294880       0.0050049    31
-65.2307692         0.2765835       0.7234165       0.0060715    32
-64.7692308         0.2816705       0.7183295       0.0050870    33
-64.3076923         0.2864293       0.7135707       0.0047588    34
-63.8461538         0.2915983       0.7084017       0.0051690    35
-63.3846154         0.2974237       0.7025763       0.0058254    36
-62.9230769         0.3021004       0.6978996       0.0046767    37
-62.4615385         0.3072694       0.6927306       0.0051690    38
-62.0000000         0.3115359       0.6884641       0.0042665    39
-61.5384615         0.3153922       0.6846078       0.0038563    40
-61.0769231         0.3186741       0.6813259       0.0032819    41
-60.6153846         0.3222022       0.6777978       0.0035281    42
-60.1538462         0.3260584       0.6739416       0.0038563    43
-59.6923077         0.3288480       0.6711520       0.0027896    44
-59.2307692         0.3320479       0.6679521       0.0031999    45
-58.7692308         0.3338530       0.6661470       0.0018051    46
-58.3076923         0.3363144       0.6636856       0.0024614    47
-57.8461538         0.3380374       0.6619626       0.0017230    48
-57.3846154         0.3392681       0.6607319       0.0012307    49
-56.9230769         0.3400886       0.6599114       0.0008205    50
-56.4615385         0.3404989       0.6595011       0.0004102    51
-56.0000000         0.3412373       0.6587627       0.0007384    52
-55.5384615         0.3418937       0.6581063       0.0006564    53
-55.0769231         0.3421398       0.6578602       0.0002461    54
-54.6153846         0.3435346       0.6564654       0.0013948    55
-54.1538462         0.3632261       0.6367739       0.0196915    56
-53.6923077         0.3849688       0.6150312       0.0217427    57
-53.2307692         0.4069577       0.5930423       0.0219888    58
-52.7692308         0.4268133       0.5731867       0.0198556    59
-52.3076923         0.4461766       0.5538234       0.0193633    60
-51.8461538         0.4622580       0.5377420       0.0160814    61
-51.3846154         0.4758779       0.5241221       0.0136200    62
-50.9230769         0.4908106       0.5091894       0.0149327    63
-50.4615385         0.5060715       0.4939285       0.0152609    64
-50.0000000         0.5189531       0.4810469       0.0128815    65
-49.5384615         0.5324910       0.4675090       0.0135379    66
