#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -0.0005593
#  Maximum: 44.1451632
#  Trials: 12188
#  Mean: 19.8262176
# 
#  Variance: 173.4087097
#  Relative variance: 0.4411550
#  Coefficient of variation: 0.6641950
#  Standard deviation: 13.1684741
#  Relative standard deviation: 0.6641950
# 
#  Skewness: 0.3204289
# 
#  2nd moment: 566.4733879
#  3rd moment: 18838.2465014
# 
#  Sum of all values: 241641.9406518
#  (Sum of all values)^2: 6904177.6521622
#  (Sum of all values)^3: 229600548.3594561
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 60
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.5695333
#  P02: 1.1256993
#  P03: 1.6867160
#  P04: 2.2935194
#  P05: 2.7992308
#  P06: 3.3123721
#  P07: 3.9081149
#  P08: 4.4463626
#  P09: 4.9452865
#  P10: 5.4025225
#  P11: 5.7827895
#  P12: 6.1481185
#  P13: 6.4522155
#  P14: 6.7080551
#  P15: 6.9505507
#  P16: 7.1446196
#  P17: 7.3057056
#  P18: 7.4500643
#  P19: 7.5911830
#  P20: 7.7305882
#  P21: 7.8832186
#  P22: 8.0207141
#  P23: 8.1397043
#  P24: 8.2649444
#  P25: 8.3966049
#  P26: 8.5328738
#  P27: 8.6711658
#  P28: 8.8170051
#  P29: 8.9658853
#  P30: 9.1187814
#  P31: 9.2892848
#  P32: 9.4532449
#  P33: 9.6111667
#  P34: 9.7804444
#  P35: 9.9532924
#  P36: 10.1383118
#  P37: 10.3465938
#  P38: 10.5671841
#  P39: 10.7827799
#  P40: 11.0447383
#  P41: 11.2906667
#  P42: 11.5732444
#  P43: 11.9130892
#  P44: 12.2103137
#  P45: 12.5872289
#  P46: 13.0044606
#  P47: 13.4161481
#  P48: 13.8949892
#  P49: 14.5783268
#  P50: 15.2739837
#  P51: 16.1228085
#  P52: 16.9585556
#  P53: 17.5887619
#  P54: 18.3202051
#  P55: 18.9577778
#  P56: 19.6088593
#  P57: 20.2795177
#  P58: 20.9493333
#  P59: 21.6730256
#  P60: 22.4167742
#  P61: 23.3583423
#  P62: 24.1498889
#  P63: 25.0158148
#  P64: 25.8683889
#  P65: 26.7266667
#  P66: 27.7102796
#  P67: 28.4791373
#  P68: 29.4476444
#  P69: 30.3194815
#  P70: 31.0764912
#  P71: 31.8310175
#  P72: 32.5908889
#  P73: 33.2896232
#  P74: 33.8815238
#  P75: 34.4804348
#  P76: 35.0376111
#  P77: 35.5137119
#  P78: 35.8946869
#  P79: 36.2783291
#  P80: 36.5792192
#  P81: 36.8153333
#  P82: 37.0316346
#  P83: 37.2282323
#  P84: 37.4092358
#  P85: 37.5826423
#  P86: 37.7895704
#  P87: 37.9635684
#  P88: 38.1162118
#  P89: 38.2491028
#  P90: 38.3881742
#  P91: 38.5310821
#  P92: 38.7263724
#  P93: 38.9581582
#  P94: 39.1850499
#  P95: 39.5219157
#  P96: 39.9388148
#  P97: 40.4544151
#  P98: 41.1552821
#  P99: 42.1467160
#  P100: 44.1451632
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
5.8666667           0.1122415       0.8877585       0.0062356    68
6.1000000           0.1184772       0.8815228       0.0062356    69
6.3333333           0.1258615       0.8741385       0.0073843    70
6.5666667           0.1339842       0.8660158       0.0081227    71
6.8000000           0.1439120       0.8560880       0.0099278    72
7.0333333           0.1533476       0.8466524       0.0094355    73
7.2666667           0.1672957       0.8327043       0.0139481    74
7.5000000           0.1834591       0.8165409       0.0161634    75
7.7333333           0.2001969       0.7998031       0.0167378    76
7.9666667           0.2154578       0.7845422       0.0152609    77
8.2000000           0.2350673       0.7649327       0.0196095    78
8.4333333           0.2527896       0.7472104       0.0177223    79
8.6666667           0.2696915       0.7303085       0.0169019    80
8.9000000           0.2856908       0.7143092       0.0159993    81
9.1333333           0.3009518       0.6990482       0.0152609    82
9.3666667           0.3144897       0.6855103       0.0135379    83
9.6000000           0.3293403       0.6706597       0.0148507    84
9.8333333           0.3431244       0.6568756       0.0137840    85
10.0666667          0.3564982       0.6435018       0.0133738    86
10.3000000          0.3679029       0.6320971       0.0114047    87
10.5333333          0.3784050       0.6215950       0.0105021    88
10.7666667          0.3893994       0.6106006       0.0109944    89
11.0000000          0.3980965       0.6019035       0.0086971    90
11.2333333          0.4080243       0.5919757       0.0099278    91
11.4666667          0.4160650       0.5839350       0.0080407    92
11.7000000          0.4246800       0.5753200       0.0086150    93
11.9333333          0.4305054       0.5694946       0.0058254    94
12.1666667          0.4389564       0.5610436       0.0084509    95
12.4000000          0.4445356       0.5554644       0.0055793    96
12.6333333          0.4513456       0.5486544       0.0068100    97
12.8666667          0.4573351       0.5426649       0.0059895    98
13.1000000          0.4618477       0.5381523       0.0045126    99
13.3333333          0.4681654       0.5318346       0.0063177   100
13.5666667          0.4733344       0.5266656       0.0051690   101
13.8000000          0.4779291       0.5220709       0.0045947   102
14.0333333          0.4830161       0.5169839       0.0050870   103
14.2666667          0.4852314       0.5147686       0.0022153   104
14.5000000          0.4885953       0.5114047       0.0033640   105
14.7333333          0.4927798       0.5072202       0.0041844   106
14.9666667          0.4956515       0.5043485       0.0028717   107
15.2000000          0.4989334       0.5010666       0.0032819   108
15.4333333          0.5022973       0.4977027       0.0033640   109
15.6666667          0.5046767       0.4953233       0.0023794   110
15.9000000          0.5063177       0.4936823       0.0016410   111
16.1333333          0.5101739       0.4898261       0.0038563   112
16.3666667          0.5123892       0.4876108       0.0022153   113
16.6000000          0.5147686       0.4852314       0.0023794   114
16.8333333          0.5178864       0.4821136       0.0031178   115
17.0666667          0.5218247       0.4781753       0.0039383   116
17.3000000          0.5263374       0.4736626       0.0045126   117
17.5333333          0.5290450       0.4709550       0.0027076   118
17.7666667          0.5330653       0.4669347       0.0040203   119
18.0000000          0.5361831       0.4638169       0.0031178   120
18.2333333          0.5388087       0.4611913       0.0026255   121
18.4666667          0.5420085       0.4579915       0.0031999   122
18.7000000          0.5453725       0.4546275       0.0033640   123
18.9333333          0.5496390       0.4503610       0.0042665   124
19.1666667          0.5530850       0.4469150       0.0034460   125
19.4000000          0.5566951       0.4433049       0.0036101   126
19.6333333          0.5603873       0.4396127       0.0036922   127
19.8666667          0.5628487       0.4371513       0.0024614   128
20.1000000          0.5670331       0.4329669       0.0041844   129
20.3333333          0.5708894       0.4291106       0.0038563   130
20.5666667          0.5748277       0.4251723       0.0039383   131
20.8000000          0.5781096       0.4218904       0.0032819   132
21.0333333          0.5810633       0.4189367       0.0029537   133
21.2666667          0.5846734       0.4153266       0.0036101   134
21.5000000          0.5876272       0.4123728       0.0029537   135
21.7333333          0.5908270       0.4091730       0.0031999   136
21.9666667          0.5936167       0.4063833       0.0027896   137
