#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -93.1714013
#  Maximum: -57.8183419
#  Trials: 12188
#  Mean: -69.5282055
# 
#  Variance: 43.1813790
#  Relative variance: 0.0089325
#  Coefficient of variation: 0.0945121
#  Standard deviation: 6.5712540
#  Relative standard deviation: -0.0945121
# 
#  Skewness: -1.5524322
# 
#  2nd moment: 4877.3491959
#  3rd moment: -345558.0037584
# 
#  Sum of all values: -847409.7686190
#  (Sum of all values)^2: 59445131.9998911
#  (Sum of all values)^3: -4211660949.8073692
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: -40
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -90.6436923
#  P02: -89.2909144
#  P03: -88.3726316
#  P04: -87.5351739
#  P05: -86.6117647
#  P06: -85.4492308
#  P07: -84.2116084
#  P08: -82.4375385
#  P09: -78.6287398
#  P10: -78.2476671
#  P11: -77.9402774
#  P12: -77.4635294
#  P13: -75.5492308
#  P14: -73.7021154
#  P15: -72.6943144
#  P16: -72.1168834
#  P17: -71.7866154
#  P18: -71.5522308
#  P19: -71.3380322
#  P20: -71.1745081
#  P21: -71.0109839
#  P22: -70.8723707
#  P23: -70.7627170
#  P24: -70.6530634
#  P25: -70.5434098
#  P26: -70.4370920
#  P27: -70.3406043
#  P28: -70.2441166
#  P29: -70.1476290
#  P30: -70.0511413
#  P31: -69.9594526
#  P32: -69.8731760
#  P33: -69.7868995
#  P34: -69.7006229
#  P35: -69.6143464
#  P36: -69.5297528
#  P37: -69.4574491
#  P38: -69.3851453
#  P39: -69.3128416
#  P40: -69.2405379
#  P41: -69.1682341
#  P42: -69.0959304
#  P43: -69.0181080
#  P44: -68.9383175
#  P45: -68.8585270
#  P46: -68.7787365
#  P47: -68.6989460
#  P48: -68.6191555
#  P49: -68.5373732
#  P50: -68.4554921
#  P51: -68.3736110
#  P52: -68.2917299
#  P53: -68.2098488
#  P54: -68.1254006
#  P55: -68.0353969
#  P56: -67.9453932
#  P57: -67.8553895
#  P58: -67.7653858
#  P59: -67.6759324
#  P60: -67.5888545
#  P61: -67.5017766
#  P62: -67.4146987
#  P63: -67.3276209
#  P64: -67.2405430
#  P65: -67.1354668
#  P66: -67.0281151
#  P67: -66.9207634
#  P68: -66.8134116
#  P69: -66.7027618
#  P70: -66.5898054
#  P71: -66.4768489
#  P72: -66.3638925
#  P73: -66.2440333
#  P74: -66.1173389
#  P75: -65.9906445
#  P76: -65.8639501
#  P77: -65.7175614
#  P78: -65.5679542
#  P79: -65.4183470
#  P80: -65.2517824
#  P81: -65.0802814
#  P82: -64.9078521
#  P83: -64.7252148
#  P84: -64.5425774
#  P85: -64.3373626
#  P86: -64.1141392
#  P87: -63.8974282
#  P88: -63.6875316
#  P89: -63.4478974
#  P90: -63.1353846
#  P91: -62.8436107
#  P92: -62.5395951
#  P93: -62.1695142
#  P94: -61.8406440
#  P95: -61.3581940
#  P96: -60.8596923
#  P97: -60.2386538
#  P98: -59.6442809
#  P99: -58.7924038
#  P100: -57.8183419
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-68.6153846         0.4804726       0.5195274       0.0578438    68
-68.1538462         0.5368395       0.4631605       0.0563669    69
-67.6923077         0.5881195       0.4118805       0.0512799    70
-67.2307692         0.6411224       0.3588776       0.0530030    71
-66.7692308         0.6841155       0.3158845       0.0429931    72
-66.3076923         0.7249754       0.2750246       0.0408599    73
-65.8461538         0.7614047       0.2385953       0.0364293    74
-65.3846154         0.7922547       0.2077453       0.0308500    75
-64.9230769         0.8191664       0.1808336       0.0269117    76
-64.4615385         0.8444372       0.1555628       0.0252708    77
-64.0000000         0.8651132       0.1348868       0.0206761    78
-63.5384615         0.8871021       0.1128979       0.0219888    79
-63.0769231         0.9018707       0.0981293       0.0147686    80
-62.6153846         0.9179521       0.0820479       0.0160814    81
-62.1538462         0.9304234       0.0695766       0.0124713    82
-61.6923077         0.9445356       0.0554644       0.0141122    83
-61.2307692         0.9520840       0.0479160       0.0075484    84
-60.7692308         0.9619298       0.0380702       0.0098457    85
-60.3076923         0.9688218       0.0311782       0.0068920    86
-59.8461538         0.9766984       0.0233016       0.0078766    87
-59.3846154         0.9842468       0.0157532       0.0075484    88
-58.9230769         0.9885133       0.0114867       0.0042665    89
-58.4615385         0.9937644       0.0062356       0.0052511    90
-58.0000000         0.9967181       0.0032819       0.0029537    91
-57.5384615         1.0000000       0.0000000       0.0032819    92
-57.0769231         1.0000000       0.0000000       0.0000000    93
-56.6153846         1.0000000       0.0000000       0.0000000    94
-56.1538462         1.0000000       0.0000000       0.0000000    95
-55.6923077         1.0000000       0.0000000       0.0000000    96
-55.2307692         1.0000000       0.0000000       0.0000000    97
-54.7692308         1.0000000       0.0000000       0.0000000    98
-54.3076923         1.0000000       0.0000000       0.0000000    99
-53.8461538         1.0000000       0.0000000       0.0000000   100
-53.3846154         1.0000000       0.0000000       0.0000000   101
-52.9230769         1.0000000       0.0000000       0.0000000   102
-52.4615385         1.0000000       0.0000000       0.0000000   103
-52.0000000         1.0000000       0.0000000       0.0000000   104
-51.5384615         1.0000000       0.0000000       0.0000000   105
-51.0769231         1.0000000       0.0000000       0.0000000   106
-50.6153846         1.0000000       0.0000000       0.0000000   107
-50.1538462         1.0000000       0.0000000       0.0000000   108
-49.6923077         1.0000000       0.0000000       0.0000000   109
-49.2307692         1.0000000       0.0000000       0.0000000   110
-48.7692308         1.0000000       0.0000000       0.0000000   111
-48.3076923         1.0000000       0.0000000       0.0000000   112
-47.8461538         1.0000000       0.0000000       0.0000000   113
-47.3846154         1.0000000       0.0000000       0.0000000   114
-46.9230769         1.0000000       0.0000000       0.0000000   115
-46.4615385         1.0000000       0.0000000       0.0000000   116
-46.0000000         1.0000000       0.0000000       0.0000000   117
-45.5384615         1.0000000       0.0000000       0.0000000   118
-45.0769231         1.0000000       0.0000000       0.0000000   119
-44.6153846         1.0000000       0.0000000       0.0000000   120
-44.1538462         1.0000000       0.0000000       0.0000000   121
-43.6923077         1.0000000       0.0000000       0.0000000   122
-43.2307692         1.0000000       0.0000000       0.0000000   123
-42.7692308         1.0000000       0.0000000       0.0000000   124
-42.3076923         1.0000000       0.0000000       0.0000000   125
-41.8461538         1.0000000       0.0000000       0.0000000   126
-41.3846154         1.0000000       0.0000000       0.0000000   127
-40.9230769         1.0000000       0.0000000       0.0000000   128
-40.4615385         1.0000000       0.0000000       0.0000000   129
-40.0000000         1.0000000       0.0000000       0.0000000   130
# -----------------------------------------------------------
